类别,标准编号,标准名称
装备技术,TB/T2917.2-2019,铁路客车及动车组照明 第2部分：车厢用灯
装备技术,TB/T2918-2003,铁道客车用交流电子镇流器
装备技术,TB/T2919-1998,织物燃烧氧指数试验方法
装备技术,TB/T2920-2023,电气化铁路接触网硬横跨
装备技术,TB/T2927-2015,高分子材料钢轨绝缘件
装备技术,TB/T2928-1998,铁路货场装卸搬运机械通用技术要求和配置
装备技术,TB/T2934-1998,铁路通信术语
装备技术,TB/T2937-1998,电气化铁道铝包钢芯铝绞线
装备技术,TB/T2938-1998,电气化铁道铝包钢绞线
装备技术,TB/T2942.1-2020,机车车辆用铸钢件 第1部分：技术要求及检验
装备技术,TB/T2942.2-2018,机车车辆用铸钢件 第2部分：金相组织检验图谱
装备技术,TB/T2944.1-2019,机车车辆用锻件 第1部分：碳素钢
装备技术,TB/T2944.2-2019,机车车辆用锻件 第2部分：合金钢
装备技术,TB/T2945-1999,铁道车辆用LZ50钢车轴及钢坯技术条件
装备技术,TB/T2946-1999,材料高温分解气体毒性分析
装备技术,TB/T2949-2015,铁道客车及动车组用高度调整装置
装备技术,TB/T2951.1-2019,铁道车辆制动机 第1部分：分配阀
装备技术,TB/T2951.2-2018,铁路车辆制动机 第2部分：货车空气控制阀
装备技术,TB/T2953-2015,铁路地面信号产品高温及低温试验方法
装备技术,TB/T2962-2015,内燃机车操纵装置技术条件
装备技术,TB/T2963-2023,机车车辆标志 机车
装备技术,TB/T2965-2018,铁路桥梁混凝土桥面防水层
装备技术,TB/T2970-1999,铁路灯光信号机的一般要求
装备技术,TB/T2972-1999,驼峰毫米波测速雷达技术条件
装备技术,TB/T2973.1-2024,列车尾部安全防护系统 第1部分：货车列尾
装备技术,TB/T2973.2-2019,列车尾部安全防护装置 第2部分：旅客列车尾部安全防护装置
装备技术,TB/T2975-2018,钢轨胶接绝缘接头
装备技术,TB/T2977-2016,铁道车辆金属部件的接地保护
装备技术,TB/T2978-2016,铁道货车手制动机
装备技术,TB/T2980-2023,机车车辆基础制动装置 盘形制动 制动盘
